gene,SRR16966869,SRR16966870,SRR16966871,SRR16966872,SRR16966873,SRR16966874
PF3D7_0100100,222.076,240.965,223.148,202.938,262.373,263.133
PF3D7_0100200,14.905,16.54,13.948,7.508,6.0,6.982
PF3D7_0100300,2.097,0.0,4.281,2.033,0.0,1.018
PF3D7_0100400,20.0,28.46,22.406,7.492,13.17,17.0
PF3D7_0100500,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100600,4.244,5.079,2.0,6.428,2.83,0.0
PF3D7_0100700,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0100800,0.0,1.001,0.0,0.0,0.0,0.0
PF3D7_0100900,0.0,1.197,0.0,0.0,2.0,0.0
PF3D7_0101000,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101300,6.985,6.935,6.53,0.0,0.0,2.636
PF3D7_0101400,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101500,0.0,2.538,2.872,0.0,0.0,0.0
PF3D7_0101600,6.478,4.112,1.016,0.0,0.0,0.0
PF3D7_0101700,0.0,2.819,0.0,0.0,0.0,0.0
PF3D7_0101800,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0101900,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0102000,0.0,1.01,0.0,0.0,0.0,0.0
PF3D7_0102100,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0102200,6129.17,7536.121,5218.297,1560.116,1484.471,1729.877
PF3D7_0102300,53.145,61.184,63.76,112.287,128.203,146.806
PF3D7_0102400,43.482,48.49,42.088,40.241,47.338,47.448
PF3D7_0102500,7592.345,8933.748,6502.75,2085.371,2623.831,2564.79
PF3D7_0102600,20.48,36.125,59.603,18.694,18.569,22.399
PF3D7_0102700,17.291,17.38,14.143,6.566,13.309,13.248
PF3D7_0102800,12.371,19.726,4.833,47.767,56.244,46.156
PF3D7_0102900,148.451,189.328,133.593,174.052,216.895,257.881
PF3D7_0103000,48.457,61.897,38.152,43.2,50.439,64.452
PF3D7_0103100,212.178,220.187,163.58,228.048,240.125,256.794
PF3D7_0103200,158.049,259.426,195.316,252.7,276.459,307.415
PF3D7_0103300,277.123,330.687,259.974,269.228,272.963,319.86
PF3D7_0103400,1249.029,1437.887,1107.148,715.227,850.642,797.133
PF3D7_0103500,88.839,81.75,105.469,116.945,174.065,173.895
PF3D7_0103600,114.943,134.459,154.444,169.068,193.549,201.726
PF3D7_0103700,23.052,31.695,21.102,17.14,31.233,45.216
PF3D7_0103800,47.896,70.648,64.654,81.378,91.613,75.816
PF3D7_0103900,77.37,95.163,88.84,116.767,156.157,163.601
PF3D7_0104000,2.048,7.178,3.465,1.014,2.589,2.364
PF3D7_0104100,249.676,287.755,240.087,233.677,266.103,282.276
PF3D7_0104200,1168.207,1467.82,1129.175,473.393,575.8,644.359
PF3D7_0104300,4497.006,5902.156,4237.561,1811.721,2164.057,2221.236
PF3D7_0104400,233.102,348.008,268.078,257.124,310.354,354.068
PF3D7_0104500,24.286,35.225,22.992,89.546,85.669,108.796
PF3D7_0104600,8.429,11.559,2.138,4.287,6.881,9.184
PF3D7_0104700,1.027,8.328,4.057,5.141,2.953,3.068
PF3D7_0104800,292.154,243.817,239.314,116.667,154.942,178.47
PF3D7_0105100,8.358,26.882,10.145,19.213,24.175,23.458
